,rk,squad,mp,w,d,l,gf,ga,gd,pts,top team scorer,goalkeeper
22,23,Russia,3.0,0.0,1.0,2.0,2.0,6.0,-4.0,1.0,"Aleksei Berezutski, Denis Glushakov - 1",Igor Akinfeev
23,24,Ukraine,3.0,0.0,0.0,3.0,0.0,5.0,-5.0,0.0,,Andriy Pyatov
0,1,Spain,6.0,4.0,2.0,0.0,12.0,1.0,11.0,14.0,Fernando Torres - 3,Iker Casillas
2,2,Germany,5.0,4.0,0.0,1.0,10.0,6.0,4.0,12.0,Mario Gómez - 3,Manuel Neuer
3,3,Portugal,5.0,3.0,1.0,1.0,6.0,4.0,2.0,10.0,Cristiano Ronaldo - 3,Rui Patrício
1,4,Italy,6.0,2.0,3.0,1.0,6.0,7.0,-1.0,9.0,Mario Balotelli - 3,Gianluigi Buffon
4,5,England,4.0,2.0,2.0,0.0,5.0,3.0,2.0,8.0,"Wayne Rooney, Theo Walcott... - 1",Joe Hart
5,6,Czechia,4.0,2.0,0.0,2.0,4.0,6.0,-2.0,6.0,"Petr Jiráček, Václav Pilař - 2",Petr Čech
8,7,Russia,3.0,1.0,1.0,1.0,5.0,3.0,2.0,4.0,Alan Dzagoev - 3,Vyacheslav Malafeev
9,8,Croatia,3.0,1.0,1.0,1.0,4.0,3.0,1.0,4.0,Mario Mandžukić - 3,Stipe Pletikosa
6,9,Greece,4.0,1.0,1.0,2.0,5.0,7.0,-2.0,4.0,Dimitris Salpingidis - 2,Michalis Sifakis
7,10,France,4.0,1.0,1.0,2.0,3.0,5.0,-2.0,4.0,"Samir Nasri, Yohan Cabaye... - 1",Hugo Lloris
10,11,Sweden,3.0,1.0,0.0,2.0,5.0,5.0,0.0,3.0,Zlatan Ibrahimović - 2,Andreas Isaksson
11,12,Denmark,3.0,1.0,0.0,2.0,4.0,5.0,-1.0,3.0,"Nicklas Bendtner, Michael Krohn-Dehli - 2",Stephan Andersen
12,13,Ukraine,3.0,1.0,0.0,2.0,2.0,4.0,-2.0,3.0,Andriy Shevchenko - 2,Andriy Pyatov
13,14,Poland,3.0,0.0,2.0,1.0,2.0,3.0,-1.0,2.0,"Robert Lewandowski, Jakub Błaszczykowski - 1",Przemysław Tytoń
14,15,Netherlands,3.0,0.0,0.0,3.0,2.0,5.0,-3.0,0.0,"Rafael van der Vaart, Robin van Persie - 1",Maarten Stekelenburg
15,16,Rep. of Ireland,3.0,0.0,0.0,3.0,1.0,9.0,-8.0,0.0,Sean St Ledger - 1,Shay Given
0,1,Spain,6.0,5.0,1.0,0.0,12.0,3.0,9.0,16.0,David Villa - 4,Iker Casillas
1,2,Germany,6.0,4.0,0.0,2.0,10.0,7.0,3.0,12.0,Lukas Podolski - 3,Jens Lehmann
4,3,Croatia,4.0,3.0,1.0,0.0,5.0,2.0,3.0,10.0,Ivan Klasnić - 2,Stipe Pletikosa
5,4,Netherlands,4.0,3.0,0.0,1.0,10.0,4.0,6.0,9.0,"Ruud van Nistelrooy, Robin van Persie... - 2",Edwin van der Sar
2,5,Russia,5.0,3.0,0.0,2.0,7.0,8.0,-1.0,9.0,Roman Pavlyuchenko - 3,Igor Akinfeev
3,6,Türkiye,5.0,2.0,1.0,2.0,8.0,9.0,-1.0,7.0,Semih Şentürk - 3,Volkan Demirel
6,7,Portugal,4.0,2.0,0.0,2.0,7.0,6.0,1.0,6.0,"Deco, Cristiano Ronaldo... - 1",Ricardo
7,8,Italy,4.0,1.0,2.0,1.0,3.0,4.0,-1.0,5.0,"Christian Panucci, Daniele De Rossi... - 1",Gianluigi Buffon
8,9,Switzerland,3.0,1.0,0.0,2.0,3.0,3.0,0.0,3.0,Hakan Yakin - 3,Diego Benaglio
9,10,Sweden,3.0,1.0,0.0,2.0,3.0,4.0,-1.0,3.0,Zlatan Ibrahimović - 2,Andreas Isaksson
10,11,Czechia,3.0,1.0,0.0,2.0,4.0,6.0,-2.0,3.0,"Jaroslav Plašil, Jan Koller... - 1",Petr Čech
11,12,Romania,3.0,0.0,2.0,1.0,1.0,3.0,-2.0,2.0,Adrian Mutu - 1,Bogdan Lobonț
12,13,Austria,3.0,0.0,1.0,2.0,1.0,3.0,-2.0,1.0,Ivica Vastić - 1,Jürgen Macho
13,14,Poland,3.0,0.0,1.0,2.0,1.0,4.0,-3.0,1.0,Roger Guerreiro - 1,Artur Boruc
14,15,France,3.0,0.0,1.0,2.0,1.0,6.0,-5.0,1.0,Thierry Henry - 1,Grégory Coupet
15,16,Greece,3.0,0.0,0.0,3.0,1.0,5.0,-4.0,0.0,Angelos Charisteas - 1,Antonios Nikopolidis
0,1,Greece,6.0,4.0,1.0,1.0,7.0,4.0,3.0,13.0,Angelos Charisteas - 3,Antonios Nikopolidis
2,2,Czechia,5.0,4.0,0.0,1.0,10.0,5.0,5.0,12.0,Milan Baroš - 5,Petr Čech
1,3,Portugal,6.0,3.0,1.0,2.0,8.0,6.0,2.0,10.0,"Maniche, Cristiano Ronaldo... - 2",Ricardo
