,Rk,Player,Pos,Squad,Age,Club,Born,MP,Starts,Min,90s,Gls,Ast,G+A,G-PK,PK,PKatt,CrdY,CrdR,xG,npxG,xAG,npxG+xAG,PrgC,PrgP,PrgR,Gls,Ast,G+A,G-PK,G+A-PK,xG,xAG,xG+xAG,npxG,npxG+xAG,Matches
12,13,Sam Adekugbe,DF,Canada,27,1.tr Hatayspor,1995,3,1,95,1.1,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,2,4,6,0.0,0.0,0.0,0.0,0.0,0.0,0.09,0.09,0.0,0.09,Matches
13,14,Michel Aebischer,"MF,FW",Switzerland,25,1.it Bologna,1997,1,0,16,0.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
14,15,Akram Afif,FW,Qatar,25,1.qa Al Sadd,1996,3,3,270,3.0,0,0,0,0,0,0,1,0,0.0,0.0,0.3,0.3,7,12,11,0.0,0.0,0.0,0.0,0.0,0.02,0.1,0.12,0.02,0.12,Matches
15,16,Nayef Aguerd,DF,Morocco,26,1.eng West Ham,1996,4,4,353,3.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,3,0,0.0,0.0,0.0,0.0,0.0,0.04,0.01,0.05,0.04,0.05,Matches
16,17,Brandon Aguilera,MF,Costa Rica,18,1.cr Asociación Deportiva Guanacasteca,2003,3,1,90,1.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,2,4,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
17,18,Homam Ahmed,DF,Qatar,22,1.qa Al-Gharafa Sports Club,1999,3,3,262,2.9,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,1,11,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
18,19,Manuel Akanji,DF,Switzerland,26,1.eng Manchester City,1995,4,4,360,4.0,1,0,1,1,0,0,1,0,1.0,1.0,0.1,1.1,4,16,1,0.25,0.0,0.25,0.25,0.25,0.24,0.03,0.27,0.24,0.27,Matches
19,20,Nathan Aké,DF,Netherlands,27,1.eng Manchester City,1995,5,5,479,5.3,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,12,26,3,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
20,21,Ahmed Alaaeldin,FW,Qatar,29,1.qa Al-Gharafa Sports Club,1993,1,0,6,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
21,22,Jordi Alba,DF,Spain,33,1.es Barcelona,1989,4,3,264,2.9,0,2,2,0,0,0,0,0,0.0,0.0,0.9,0.9,4,31,30,0.0,0.68,0.68,0.0,0.68,0.01,0.31,0.32,0.01,0.32,Matches
22,23,Toby Alderweireld,DF,Belgium,33,1.be Antwerp,1989,3,3,270,3.0,0,1,1,0,0,0,0,0,0.0,0.0,0.3,0.3,1,13,1,0.0,0.33,0.33,0.0,0.33,0.0,0.11,0.11,0.0,0.11,Matches
23,24,Trent Alexander-Arnold,DF,England,23,1.eng Liverpool,1998,1,0,34,0.4,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,3,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
24,25,Almoez Ali,FW,Qatar,25,1.qa Al Duhail SC,1996,3,3,224,2.5,0,0,0,0,0,0,1,0,0.4,0.4,0.0,0.4,2,2,8,0.0,0.0,0.0,0.0,0.0,0.15,0.0,0.15,0.15,0.15,Matches
25,26,Alisson,GK,Brazil,29,1.eng Liverpool,1992,4,4,379,4.2,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
26,27,Joe Allen,MF,Wales,32,2.eng Swansea City,1990,2,1,94,1.0,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.2,0,1,1,0.0,0.0,0.0,0.0,0.0,0.1,0.05,0.15,0.1,0.15,Matches
27,28,Thiago Almada,MF,Argentina,21,1.us Atlanta Utd,2001,1,0,7,0.1,0,0,0,0,0,0,0,0,0.0,0.0,0.2,0.2,1,2,1,0.0,0.0,0.0,0.0,0.0,0.0,3.16,3.16,0.0,3.16,Matches
28,29,Roberto Alvarado,FW,Mexico,23,1.mx Guadalajara,1998,1,0,18,0.2,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,2,0,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
29,30,Edson Álvarez,MF,Mexico,24,1.nl Ajax,1997,2,2,175,1.9,0,0,0,0,0,0,1,0,0.0,0.0,0.2,0.2,5,6,0,0.0,0.0,0.0,0.0,0.0,0.01,0.11,0.12,0.01,0.12,Matches
30,31,Julián Álvarez,FW,Argentina,22,1.eng Manchester City,2000,7,5,464,5.2,4,0,4,4,0,0,0,0,2.6,2.6,0.1,2.7,13,5,22,0.78,0.0,0.78,0.78,0.78,0.51,0.02,0.53,0.51,0.53,Matches
31,32,Kevin Álvarez,DF,Mexico,23,1.mx Pachuca,1999,2,1,70,0.8,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,1,3,5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
32,33,Dani Alves,DF,Brazil,39,1.mx UNAM,1983,2,1,118,1.3,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,0,7,4,0.0,0.0,0.0,0.0,0.0,0.14,0.0,0.14,0.14,0.14,Matches
33,34,Selim Amallah,MF,Morocco,25,1.be Standard Liège,1996,7,4,409,4.5,0,0,0,0,0,0,1,0,0.2,0.2,0.1,0.3,3,4,7,0.0,0.0,0.0,0.0,0.0,0.05,0.02,0.07,0.05,0.07,Matches
34,35,Daniel Amartey,DF,Ghana,27,1.eng Leicester City,1994,3,3,251,2.8,0,0,0,0,0,0,2,0,0.2,0.2,0.1,0.3,0,9,1,0.0,0.0,0.0,0.0,0.0,0.08,0.03,0.1,0.08,0.1,Matches
35,36,Ethan Ampadu,"MF,DF",Wales,21,1.it Spezia,2000,3,3,255,2.8,0,0,0,0,0,0,0,0,0.0,0.0,0.1,0.2,4,17,4,0.0,0.0,0.0,0.0,0.0,0.01,0.04,0.05,0.01,0.05,Matches
36,37,Sofyan Amrabat,MF,Morocco,25,1.it Fiorentina,1996,7,7,660,7.3,0,0,0,0,0,0,1,0,0.0,0.0,0.1,0.1,9,28,0,0.0,0.0,0.0,0.0,0.0,0.0,0.01,0.01,0.0,0.01,Matches
37,38,Abdulelah Al-Amri,DF,Saudi Arabia,25,1.sa Al-Nassr,1997,3,2,182,2.0,0,0,0,0,0,0,2,0,0.1,0.1,0.0,0.1,3,13,0,0.0,0.0,0.0,0.0,0.0,0.03,0.0,0.03,0.03,0.03,Matches
38,39,Joachim Andersen,DF,Denmark,26,1.eng Crystal Palace,1996,3,3,270,3.0,0,1,1,0,0,0,0,0,0.1,0.1,0.2,0.3,7,24,0,0.0,0.33,0.33,0.0,0.33,0.03,0.08,0.11,0.03,0.11,Matches
39,40,Karim Ansarifard,"FW,MF",IR Iran,32,1.cy AC Omonia,1990,2,0,35,0.4,0,0,0,0,0,0,0,0,0.1,0.1,0.1,0.1,1,0,2,0.0,0.0,0.0,0.0,0.0,0.17,0.2,0.36,0.17,0.36,Matches
40,41,Antony,FW,Brazil,22,1.eng Manchester Utd,2000,4,1,172,1.9,0,0,0,0,0,0,0,0,0.2,0.2,0.1,0.4,8,7,20,0.0,0.0,0.0,0.0,0.0,0.15,0.08,0.22,0.15,0.22,Matches
41,42,Uriel Antuna,"FW,MF",Mexico,24,1.mx Cruz Azul,1997,3,0,77,0.9,0,0,0,0,0,0,0,0,0.2,0.2,0.0,0.2,3,0,14,0.0,0.0,0.0,0.0,0.0,0.18,0.02,0.2,0.18,0.2,Matches
42,43,Néstor Araujo,DF,Mexico,30,1.mx América,1991,1,1,90,1.0,0,0,0,0,0,0,1,0,0.0,0.0,0.0,0.0,4,5,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
43,44,Takuma Asano,FW,Japan,27,1.de Bochum,1994,4,0,165,1.8,1,0,1,1,0,0,0,0,0.7,0.7,0.2,0.9,5,3,11,0.55,0.0,0.55,0.55,0.55,0.44,0.17,0.6,0.44,0.6,Matches
44,45,Marco Asensio,FW,Spain,26,1.es Real Madrid,1996,4,3,229,2.5,1,0,1,1,0,0,0,0,1.2,1.2,0.1,1.3,6,9,26,0.39,0.0,0.39,0.39,0.39,0.48,0.02,0.5,0.48,0.5,Matches
45,46,Ali Assadalla,MF,Qatar,29,1.qa Al Sadd,1993,1,0,27,0.3,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,4,1,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
46,47,Lawrence Ati-Zigi,GK,Ghana,25,1.ch St. Gallen,1996,3,3,270,3.0,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,0,0,0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
47,48,Nathaniel Atkinson,DF,Australia,23,1.sct Hearts,1999,1,1,84,0.9,0,0,0,0,0,0,0,0,0.0,0.0,0.0,0.0,2,3,2,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,Matches
48,49,Yahya Attiat Allah,DF,Morocco,27,1.ma Wydad Casablanca,1995,6,2,318,3.5,0,1,1,0,0,0,0,0,0.2,0.2,1.2,1.4,7,9,12,0.0,0.28,0.28,0.0,0.28,0.07,0.37,0.44,0.07,0.44,Matches
49,50,André Ayew,"MF,FW",Ghana,32,1.qa Al Sadd,1989,3,3,198,2.2,1,0,1,1,0,1,1,0,1.1,0.4,0.0,0.4,1,1,5,0.45,0.0,0.45,0.45,0.45,0.52,0.0,0.52,0.16,0.16,Matches
50,51,Jordan Ayew,FW,Ghana,30,1.eng Crystal Palace,1991,3,2,136,1.5,0,1,1,0,0,0,0,0,0.1,0.1,0.5,0.5,4,3,6,0.0,0.66,0.66,0.0,0.66,0.03,0.32,0.36,0.03,0.36,Matches
51,52,Sardar Azmoun,FW,IR Iran,27,1.de Leverkusen,1995,3,2,126,1.4,0,0,0,0,0,0,0,0,0.9,0.9,0.1,1.0,3,3,3,0.0,0.0,0.0,0.0,0.0,0.67,0.05,0.71,0.67,0.71,Matches
52,53,César Azpilicueta,DF,Spain,32,1.eng Chelsea,1989,2,2,135,1.5,0,1,1,0,0,0,0,0,0.0,0.0,0.7,0.7,4,14,1,0.0,0.67,0.67,0.0,0.67,0.0,0.45,0.45,0.0,0.45,Matches
