,min,squad,g+a_1,crdr,starts,pk,g-pk,ast,g-pk_1,crdy,mp,g+a-pk,gls_1,gls,player,g+a,ast_1
53,45,Spain,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Aleix García,0,0.00
54,126,Spain,0.0,0,1,0,0,0,0.0,0,4,0.0,0.0,0,Alejandro Balde,0,0.0
55,45,Serbia,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Aleksa Terzić,0,0.00
56,95,Bulgaria,0.95,0,1,0,0,1,0.00,1,2,0.95,0.00,0,Aleksandar Kolev,1,0.95
57,262,Serbia,0.69,0,3,0,2,0,0.69,1,3,0.69,0.69,2,Aleksandar Mitrović,2,0.0
58,195,N. Macedonia,0.00,0,3,0,0,0,0.00,0,4,0.00,0.00,0,Aleksandar Trajkovski,0,0.00
59,277,Montenegro,0.00,0,4,0,0,0,0.00,0,4,0.00,0.00,0,Aleksandar Šćekić,0,0.00
60,990,Kazakhstan,0.00,0,11,0,0,0,0.00,1,11,0.00,0.00,0,Aleksandr Marochkin,0,0.00
61,91,Belarus,0.00,0,1,0,0,0,0.00,0,2,0.00,0.00,0,Aleksandr Pavlovets,0,0.00
62,282,Belarus,0.00,0,3,0,0,0,0.00,1,5,0.00,0.00,0,Aleksandr Selyava,0,0.00
63,96,Kazakhstan,0.00,0,1,0,0,0,0.00,0,2,0.00,0.00,0,Aleksandr Zuyev,0,0.00
64,103,Georgia,0.00,0,1,0,0,0,0.00,0,2,0.00,0.00,0,Aleksandre Kalandadze,0,0.00
65,500,Azerbaijan,0.18,0,7,0,0,1,0.00,1,8,0.18,0.00,0,Aleksei Isayev,1,0.18
66,329,Latvia,0.00,0,4,0,0,0,0.00,2,6,0.00,0.00,0,Aleksejs Saveljevs,0,0.00
67,298,Italy,0.00,0,3,0,0,0,0.00,0,4,0.00,0.00,0,Alessandro Bastoni,0,0.00
68,90,Italy,0.00,0,1,0,0,0,0.00,1,1,0.00,0.00,0,Alessandro Buongiorno,0,0.00
69,484,San Marino,0.00,0,5,0,0,0,0.00,1,7,0.00,0.00,0,Alessandro D'Addario,0,0.00
70,900,San Marino,0.10,0,10,0,1,0,0.10,0,10,0.10,0.10,1,Alessandro Golinucci,1,0.00
71,680,San Marino,0.00,0,8,0,0,0,0.00,3,9,0.00,0.00,0,Alessandro Tosi,0,0.00
72,289,Luxembourg,0.31,0,5,0,0,1,0.00,1,7,0.31,0.00,0,Alessio Curci,1,0.31
73,90,Italy,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Alessio Romagnoli,0,0.00
74,15,Spain,6.00,0,0,0,1,0,6.00,0,1,6.00,6.00,1,Alex Baena,1,0.00
75,629,Cyprus,0.00,0,7,0,0,0,0.00,1,8,0.00,0.00,0,Alex Gogić,0,0.00
76,303,Czechia,0.30,0,3,0,0,1,0.00,0,5,0.30,0.00,0,Alex Král,1,0.30
77,37,Estonia,0.00,0,1,0,0,0,0.00,0,2,0.00,0.00,0,Alex Matthias Tamm,0,0.00
78,270,Bulgaria,0.00,0,3,0,0,0,0.00,1,3,0.00,0.00,0,Alex Petkov,0,0.00
79,190,Brazil,0.0,0,2,0,0,0,0.0,0,3,0.0,0.0,0,Alex Sandro,0,0.0
80,59,Brazil,0.0,0,1,0,0,0,0.0,0,2,0.0,0.0,0,Alex Telles,0,0.0
81,46,Denmark,0.0,0,0,0,0,0,0.0,0,2,0.0,0.0,0,Alexander Bah,0,0.0
82,97,Ghana,0.0,0,1,0,0,0,0.0,0,2,0.0,0.0,0,Alexander Djiku,0,0.0
83,361,Sweden,0.25,0,5,0,1,0,0.25,0,5,0.25,0.25,1,Alexander Isak,1,0.00
84,65,Austria,0.00,0,1,0,0,0,0.00,0,2,0.00,0.00,0,Alexander Prass,0,0.00
85,281,Malta,0.00,0,2,0,0,0,0.00,0,6,0.00,0.00,0,Alexander Satariano,0,0.00
86,540,Austria,0.00,0,6,0,0,0,0.00,1,6,0.00,0.00,0,Alexander Schlager,0,0.00
87,438,Norway,0.41,0,5,0,2,0,0.41,1,6,0.41,0.41,2,Alexander Sørloth,2,0.00
88,288,Andorra,0.00,0,3,0,0,0,0.00,1,7,0.00,0.00,0,Alexandre Martínez Palau,0,0.00
89,232,Romania,0.00,0,2,0,0,0,0.00,1,7,0.00,0.00,0,Alexandru Cicâldău,0,0.00
90,550,Argentina,0.33,0,6,0,1,1,0.16,0,6,0.33,0.16,1,Alexis Mac Allister,2,0.16
91,36,Belgium,0.00,0,0,0,0,0,0.00,0,2,0.00,0.00,0,Alexis Saelemaekers,0,0.00
92,193,Mexico,0.0,0,3,0,0,0,0.0,0,3,0.0,0.0,0,Alexis Vega,0,0.0
93,90,Czechia,0.00,0,1,0,0,0,0.00,0,1,0.00,0.00,0,Aleš Mandous,0,0.00
94,478,Iceland,0.00,0,5,0,0,0,0.00,0,7,0.00,0.00,0,Alfons Sampsted,0,0.00
95,20,Spain,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Alfonso Pedraza,0,0.00
96,515,Iceland,0.70,0,7,1,2,1,0.35,2,10,0.52,0.52,3,Alfreð Finnbogason,4,0.17
97,188,Tunisia,0.0,0,2,0,0,0,0.0,1,3,0.0,0.0,0,Ali Abdi,0,0.0
98,45,Saudi Arabia,0.0,0,1,0,0,0,0.0,1,1,0.0,0.0,0,Ali Al Hassan,0,0.0
99,216,Saudi Arabia,0.0,0,3,0,0,0,0.0,1,3,0.0,0.0,0,Ali Al-Bulaihi,0,0.0
100,27,Qatar,0.0,0,0,0,0,0,0.0,0,1,0.0,0.0,0,Ali Assadalla,0,0.0
101,199,IR Iran,0.45,0,2,0,0,1,0.0,0,3,0.45,0.0,0,Ali Gholizadeh,1,0.45
102,99,IR Iran,0.0,0,1,0,0,0,0.0,0,3,0.0,0.0,0,Ali Karimi,0,0.0
103,90,Tunisia,0.0,0,1,0,0,0,0.0,0,1,0.0,0.0,0,Ali Maâloul,0,0.0
104,155,Ghana,0.0,0,2,0,0,0,0.0,2,2,0.0,0.0,0,Alidu Seidu,0,0.0
105,109,IR Iran,0.0,0,2,0,0,0,0.0,0,2,0.0,0.0,0,Alireza Beiranvand,0,0.0
106,59,IR Iran,0.0,0,1,0,0,0,0.0,2,2,0.0,0.0,0,Alireza Jahanbakhsh,0,0.0
107,379,Brazil,0.0,0,4,0,0,0,0.0,0,4,0.0,0.0,0,Alisson,0,0.0
108,270,Canada,0.0,0,3,0,0,0,0.0,1,3,0.0,0.0,0,Alistair Johnston,0,0.0
109,250,Northern Ireland,0.00,0,3,0,0,0,0.00,2,4,0.00,0.00,0,Alistair McCann,0,0.00
110,4,Bosnia & Herz'na,0.00,0,0,0,0,0,0.00,0,1,0.00,0.00,0,Almedin Ziljkić,0,0.00
111,224,Qatar,0.0,0,3,0,0,0,0.0,1,3,0.0,0.0,0,Almoez Ali,0,0.0
112,270,Canada,0.33,0,3,0,1,0,0.33,1,3,0.33,0.33,1,Alphonso Davies,1,0.0
113,58,Türkiye,0.00,0,0,0,0,0,0.00,1,1,0.00,0.00,0,Altay Bayındır,0,0.00
114,96,Kosovo,0.94,0,0,0,1,0,0.94,1,3,0.94,0.94,1,Altin Zeqiri,1,0.00
115,605,Latvia,0.15,0,7,0,0,1,0.00,1,8,0.15,0.00,0,Alvis Jaunzems,1,0.15
